;Country;ProducedVehicles;Percentage
62;United States;10060339;0.17615221377700624
29;Japan;7835519;0.1371965714019969
24;India;5456857;0.09554722170043703
52;South Korea;3757049;0.06578431389028615
21;Germany;3677820;0.06439704813857158
33;Mexico;3509072;0.06144234315592216
8;Brazil;2369769;0.041493637092161834
54;Spain;2219462;0.038861826096908046
57;Thailand;1883515;0.03297953845612935
25;Indonesia;1470146;0.025741624857314512
